"Component","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-68mj-5wr7-6fgg","HIGH","amqp-client","5.19.0","5.33.1","A high vulnerability in java-archive package: amqp-client, version 5.19.0 was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2024-26461","HIGH","libgssapi-krb5-2","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.6","A low vulnerability in deb package: libgssapi-krb5-2, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2024-26461","HIGH","libk5crypto3","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.6","A low vulnerability in deb package: libk5crypto3, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2024-26461","HIGH","libkrb5-3","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.6","A low vulnerability in deb package: libkrb5-3, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2024-26461","HIGH","libkrb5support0","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.6","A low vulnerability in deb package: libkrb5support0, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-8925","CRITICAL","curl","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.25","A medium vulnerability in deb package: curl, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-8925","CRITICAL","libcurl4","7.81.0-1ubuntu1.16","7.81.0-1ubuntu1.25","A medium vulnerability in deb package: libcurl4, version 7.81.0-1ubuntu1.16 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2024-38428","CRITICAL","wget","1.21.2-2ubuntu1","1.21.2-2ubuntu1.1","A medium vulnerability in deb package: wget, version 1.21.2-2ubuntu1 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-93wv-jw9v-4972","HIGH","netty-codec-http2","4.1.100.Final","4.1.136.Final","A high vulnerability in java-archive package: netty-codec-http2, version 4.1.100.Final was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-21932","HIGH","openjdk","17.0.11+9","1.8.0_482,8.0.482,11.0.30,17.0.18,21.0.10,25.0.2","A high vulnerability in binary package: openjdk, version 17.0.11+9 was found in image graylog/graylog:5.2.7 at: /opt/java/openjdk/release"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-6jqx-86gh-f27w","HIGH","netty-codec-http","4.1.100.Final","4.1.136.Final","A high vulnerability in java-archive package: netty-codec-http, version 4.1.100.Final was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-93j5-89vc-pph4","HIGH","amqp-client","5.19.0","5.33.1","A high vulnerability in java-archive package: amqp-client, version 5.19.0 was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","GHSA-mvh2-crg5-v77c","HIGH","netty-codec-http","4.1.100.Final","4.1.136.Final","A high vulnerability in java-archive package: netty-codec-http, version 4.1.100.Final was found in image graylog/graylog:5.2.7 at: /usr/share/graylog/graylog.jar"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-3731","HIGH","libssh-4","0.9.6-2ubuntu0.22.04.3","0.9.6-2ubuntu0.22.04.7","A medium vulnerability in deb package: libssh-4, version 0.9.6-2ubuntu0.22.04.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-34180","HIGH","libssl3","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.25","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-34180","HIGH","openssl","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.25","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-63072","HIGH","libssl3","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.29","A medium vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-63072","HIGH","openssl","3.0.2-0ubuntu1.15","3.0.2-0ubuntu1.29","A medium vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.15 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-40355","HIGH","libgssapi-krb5-2","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.8","A medium vulnerability in deb package: libgssapi-krb5-2, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-40355","HIGH","libk5crypto3","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.8","A medium vulnerability in deb package: libk5crypto3, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-40355","HIGH","libkrb5-3","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.8","A medium vulnerability in deb package: libkrb5-3, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-40355","HIGH","libkrb5support0","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.8","A medium vulnerability in deb package: libkrb5support0, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
"qubership-logging-operator","grype","graylog/graylog:5.2.7","CVE-2026-40356","HIGH","libgssapi-krb5-2","1.19.2-2ubuntu0.3","1.19.2-2ubuntu0.8","A medium vulnerability in deb package: libgssapi-krb5-2, version 1.19.2-2ubuntu0.3 was found in image graylog/graylog:5.2.7 at: /var/lib/dpkg/status"
